Symbol,Price,Volume
CAKEBUSD,1.54,379039.43
ORNBTC,1.586e-05,290522.4
ORNUSDT,1.053,477794.0
SXPTRY,0.096,511730945.0
UTKBTC,4.5e-07,3505744.0
UTKUSDT,0.00677,49105072.0
XVSBNB,0.0045,360.46
XVSBTC,3.78e-05,1282.42
XVSBUSD,7.03,46090.98
XVSUSDT,2.71,55603.51
ALPHABNB,0.000299,3967547.0
ALPHABTC,3.5e-07,7073255.0
ALPHABUSD,0.0771,2477459.0
ALPHAUSDT,0.0097,42436198.0
VIDTBTC,2e-08,106862893.0
VIDTBUSD,0.02305,26784928.0
AAVEBNB,0.1517,7664.208
BTCBRL,365167.0,74.77024
USDTBRL,5.0691,58452131.4
AAVEBTC,0.001271,818.065
AAVEETH,0.04179,240.512
AAVEBUSD,93.0,4360.017
AAVEUSDT,91.63,107559.493
NEARBNB,0.001574,99438.0
NEARBTC,1.902e-05,282952.2
NEARBUSD,2.249,241731.5
NEARUSDT,1.371,17641932.1
FILBNB,0.00656,138710.15
FILBTC,1.267e-05,72542.24
FILBUSD,4.554,66526.18
FILUSDT,0.913,5432121.34
INJBNB,0.004703,81.9
INJBTC,4.148e-05,3664.2
INJBUSD,25.464,38835.583
INJUSDT,2.988,547538.18
AERGOBTC,2.57e-06,3384537.0
AERGOBUSD,0.1003,4114171.0
LINKEUR,7.73,17412.72
ONEBUSD,0.01505,30696843.2
AUDIOBTC,3.1e-07,16217917.9
AUDIOBUSD,0.1527,2422950.4
AUDIOUSDT,0.01724,53011798.3
CTKBNB,0.000289,91963.8
CTKBTC,2.43e-06,70335.1
CTKBUSD,0.534,616601.1
CTKUSDT,0.1759,1103119.1
ETHBRL,11155.34,1352.5392
DOTEUR,1.131,155966.41
AKROUSDT,0.000981,196396908.0
KP3RBNB,0.2025,8011.08
KP3RBUSD,45.39,9688.98
AXSBNB,0.001388,182495.41
AXSBTC,1.589e-05,20159.32
AXSBUSD,5.88,83545.27
AXSUSDT,1.148,1772564.32
HARDBNB,0.000592,2225172.0
HARDBTC,3.18e-06,1477900.0
HARDBUSD,0.1091,3685118.0
HARDUSDT,0.0095,11528516.0
BNBBRL,3071.0,228.91
LTCEUR,46.78,3391.337
DNTBUSD,0.036,20212918.0
DNTUSDT,0.036,20611766.0
SLPETH,2.8e-07,427281022.0
ADAEUR,0.2191,2408912.0
CVPETH,0.00032,914382.0
CVPBUSD,0.343,1225641.4
STRAXBTC,2.5e-07,26838730.0
STRAXETH,0.0003188,992437.2
STRAXBUSD,0.471,1287296.8
STRAXUSDT,0.01332,9493101.0
FORBTC,6e-08,93232454.0
FORBUSD,0.01703,19052168.2
UNFIBTC,1.85e-05,137750.2
UNFIBUSD,7.815,35615.5
UNFIUSDT,1.341,287970.0
FRONTBUSD,0.3322,1069503.0
ROSEBTC,1.4e-07,517236.0
ROSEBUSD,0.06826,8726950.2
ROSEUSDT,0.01024,133294511.5
AVAXTRY,422.4,358277.56
BUSDBRL,4.991,2433651.7
AVAUSDT,0.2056,1539117.0
SYSBUSD,0.0818,3018102.0
XEMUSDT,0.01596,19421302.0
PROMBNB,0.01443,92137.94
PROMBUSD,4.424,109569.72
XRPBRL,6.859,359496.2
SKLBTC,1e-07,29951243.0
SKLBUSD,0.0215,20824424.0
SKLUSDT,0.00656,189986627.0
BCHEUR,379.6,197.593
YFIEUR,4835.0,96.75674
ZILBIDR,253.4,12356996.0
GLMBTC,1.8e-06,63540.0
GLMETH,0.0001502,1592812.0
GHSTETH,0.0008175,456152.0
GHSTBUSD,0.957,385632.6
LINKBRL,45.79,9793.78
LTCRUB,6383.1,6492.081
TRXTRY,14.27,3537278.0
XLMEUR,0.1338,986265.0
DFBUSD,0.036,14913439.0
GRTBTC,3.4e-07,106666.0
GRTETH,1.318e-05,18767526.0
GRTUSDT,0.02436,35455063.0
JUVBTC,0.0001377,140070.8
JUVBUSD,2.065,164007.7
JUVUSDT,0.518,1225870.65
PSGBTC,6.93e-05,42937.08
PSGBUSD,3.019,132931.62
PSGUSDT,0.841,325360.23
1INCHBTC,1.3e-06,67066.1
1INCHUSDT,0.0933,3110807.3
REEFUSDT,0.000688,579667377.0
OGBTC,4.13e-05,119334.6
OGUSDT,2.598,152065.5
ATMBTC,9.44e-05,160029.86
ATMUSDT,1.056,2193236.31
ASRBTC,0.0001339,120189.3
ASRUSDT,1.257,225848.0
CELOBTC,1.13e-06,86622.2
CELOUSDT,0.0817,3256038.2
RIFBTC,3.8e-07,15713350.0
RIFUSDT,0.0353,9446564.0
CHZTRY,1.741,12149396.0
XLMTRY,6.972,1526481.0
LINKGBP,13.173,29241.94
GRTEUR,0.02247,20654669.0
BTCSTBTC,0.000331,30793.46
BTCSTBUSD,1.16,494604.4
BTCSTUSDT,5.35,121233.48
TRUBTC,4.2e-07,9102000.0
TRUUSDT,0.0072,203645446.0
DEXEETH,0.001378,104201.39
DEXEBUSD,2.1,70818.25
EOSEUR,0.762,491496.5
LTCBRL,277.4,951.325
USDCBUSD,0.9999,7518551.91
TUSDBUSD,0.9966,2322140.0
CKBBUSD,0.00265,117459832.0
CKBUSDT,0.001465,270786491.0
TWTBTC,1.229e-05,369587.0
TWTBUSD,0.7924,448821.0
TWTUSDT,0.3984,1918994.0
FIROBTC,2.005e-05,91145.6
FIROUSDT,0.3,1208885.8
BETHETH,0.9996,4197.8517
DOGEEUR,0.07994,5531106.0
DOGETRY,4.164,32605354.0
DOGEAUD,0.09449,5681094.0
DOGEBRL,0.4736,1580545.0
